id,business_name,city,state,verdict,reason,mechanism,confidence,websites,source_batch_hint
1dde9689-9f4f-4438-a27f-779a20732354,Alabaster Nutrition,Alabaster,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.9938056468963623,,batch_3_alexander_city_al_75mi
d34de164-22a1-4c3e-92c0-838798b59185,Blue Tide Nutrition,Ludowici,GA,exclude,Herbalife-style nutrition club,*nutrition*,0.9111856818199158,,batch_2_savannah_ga_50mi
56375707-8560-499c-b7a0-52965916986e,Clean Eatz,Port St. Lucie,FL,exclude,"Meal-prep, not cafe",*clean eatz*,0.862,https://locations.cleaneatz.com/fl/portst-lucie/meal-prep-115.html,batch_1_fort_pierce_fl_50mi
dd774c13-062d-4395-afc3-88f876457ab3,Clean Eatz,Savannah,GA,exclude,"Meal-prep, not cafe",*clean eatz*,0.862,https://locations.cleaneatz.com/ga/savannah/meal-prep-8.html,batch_2_savannah_ga_50mi
e88b8b67-6a0e-4bcf-8131-8b558a78b2a8,Deep Roots Kava Bar,Columbus,GA,exclude,"Kava lounge, not coffee shop",*kava bar*,0.8996396660804749,http://deeprootskavabar.com/,batch_3_alexander_city_al_75mi
16e2b2f6-955b-4129-b356-9f96cff5e797,Gadsden Nutrition,Gadsden,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.9427152872085571,,batch_3_alexander_city_al_75mi
eca3c44a-025d-4bc0-82d2-f7d23d07a685,Good Vibez Coffee Kava Kratom,Vero Beach,FL,exclude,Kava/kratom shop,enrichment,0.6013666987419128,,batch_1_fort_pierce_fl_50mi
4677eed5-33de-4470-b31b-31fca681da0f,Hillwood Nutrition,Montgomery,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.9427152872085571,,batch_3_alexander_city_al_75mi
beafa3a8-bb2a-4076-888f-849264954458,Island Vibes Kava Bar,Jupiter,FL,exclude,"Kava lounge, not coffee shop",*kava bar*,0.9854282736778259,http://islandvibesjupiter.com/,batch_1_fort_pierce_fl_50mi
357c5590-f2d4-42e4-af26-3ffbf92417a9,Lake O Nutrition,Okeechobee,FL,exclude,Herbalife-style nutrition club,*nutrition*,0.9596369862556458,https://g.co/kgs/hCSKdGC,batch_1_fort_pierce_fl_50mi
6dfc75a2-e550-45e2-9ebb-90d515b947c9,Lorna nutrition,Hoover,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.8577542304992676,,batch_3_alexander_city_al_75mi
1726b228-a917-4f49-adc8-9fdd12c4d1ca,MZ. Tea's TAX Service,Vero Beach,FL,exclude,Tax prep junk name,*tax service*,0.5668396353721619,,batch_1_fort_pierce_fl_50mi
2446559d-54c6-44fa-b401-2301e97d202f,McDonald's,Oxford,AL,exclude,"Fast food, not sit-down cafe",*mcdonald*,0.9881299734115601,https://www.mcdonalds.com/us/en-us/location/al/oxford/1015-hwy-21-s/3636.html?cid=RF:YXT:RoN::Clicks,batch_3_alexander_city_al_75mi
533a0c57-6354-434b-b41c-c9c4078bf0ea,McDonald's,Lake Park,FL,exclude,"Fast food, not sit-down cafe",*mcdonald*,0.9471,https://www.mcdonalds.com/us/en-us/location/fl/lake-park/130-n-congress/30983.html?cid=RF:YXT:RoN::Clicks,batch_1_fort_pierce_fl_50mi
b899cf2b-a966-4317-89ef-1dfe9cad5a52,McDonald's,Port Saint Lucie,FL,exclude,"Fast food, not sit-down cafe",*mcdonald*,0.9471,https://www.mcdonalds.com/us/en-us/location/fl/port-saint-lucie/1850-sw-gatlin-blvd/32072.html?cid=RF:YXT:RoN::Clicks,batch_1_fort_pierce_fl_50mi
5af0ce32-9baf-4480-a447-3de2d504f11b,McDonald's,Rincon,GA,exclude,"Fast food, not sit-down cafe",*mcdonald*,0.9882031083106995,https://www.mcdonalds.com/us/en-us/location/ga/rincon/427-south-columbia-street/16154.html?cid=RF:YXT:RoN::Clicks,batch_2_savannah_ga_50mi
eb6adb29-3125-4266-ae04-358ae11e4aa2,McDonald's,New York,NY,exclude,"Fast food, not sit-down cafe",*mcdonald*,0.9758146405220032,https://mylocalmcds.com/penn-station-mcdonalds/,batch_4_nyc_penn_station_20mi
a0fae0fc-b642-4b9e-b9a7-1ea5a2f2fd7e,Nocturne Teas Kava Bar,Palm Bay,FL,exclude,"Kava lounge, not coffee shop",*kava bar*,0.981401264667511,http://www.nocturneteas.com/,batch_1_fort_pierce_fl_50mi
39e092c5-4529-40ef-9156-1b866bb01a17,Oasis Root Coffee and Kava Lounge,Jupiter,FL,exclude,"Kava lounge, not coffee shop",*kava lounge*,0.77,https://oasis-root-kava-bar-and-lounge.business.site/,batch_1_fort_pierce_fl_50mi
934a787f-e651-4221-9c11-f2d699fd4fd0,Oasis Root Kava Bar and Lounge,Jupiter,FL,exclude,"Kava lounge, not coffee shop",*kava bar*,0.9929700493812561,https://oasis-root-kava-bar-and-lounge.business.site/,batch_1_fort_pierce_fl_50mi
d10606aa-2c02-4550-b2d7-e9fae4d49907,Palma Nutrition,Pelham,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.3402179479598999,,batch_3_alexander_city_al_75mi
56497525-9b60-4b07-a5fd-c14af6c4f080,Paradise Coffee & Kava Bar,Riviera Beach,FL,exclude,"Kava lounge, not coffee shop",*kava bar*,0.8694632053375244,,batch_1_fort_pierce_fl_50mi
8f3cb7a7-9496-42ed-a8e9-46e06fa6a421,Powerful Nutrition,San Jose,CA,exclude,Herbalife-style nutrition club,*nutrition*,0.661286473274231,,batch_2_warren_oh_10mi
1ffd2b5b-ea6e-42c1-bf83-9957bcfcff90,Protein Harbor,Fort Pierce,FL,exclude,Nutrition/smoothie club miscategorized,is_nutrition_club,0.9953323006629944,,batch_1_fort_pierce_fl_10mi
5b8efa07-5bf6-495e-943a-45c84a9b6cc7,QA Cafe Flatiron,New York,NY,exclude,Test/office listing,widget_quality_gate,0.77,,batch_4_nyc_penn_station_20mi
6a6666a3-c71b-4d5c-b5b5-fc7f930badef,Starbucks Pickup with Amazon Go,New York,NY,exclude,"Pickup counter, not sit-down",is_in_store_concession,0.988968176060915,http://www.starbucks.com,batch_4_nyc_penn_station_20mi
7a593579-8333-446d-99e9-b27b31f082c0,Tarrant Nutrition,Tarrant,AL,exclude,Herbalife-style nutrition club,*nutrition*,0.9627133011817932,https://yoanavasquez.goherbalife.com/Catalog/Home/Index/es-us,batch_3_alexander_city_al_75mi
67e1a1e7-e25c-4609-9584-dc51a15946f8,Tax Expresso,Columbus,GA,exclude,Tax prep junk name,*tax expresso*,0.77,http://xptax.com,batch_3_alexander_city_al_75mi
5aa04e24-879b-4902-862f-98d0f0774b19,The Lee Internet Partners,New York,NY,exclude,Bad/test listing,widget_quality_gate,0.09055672585964203,,batch_4_nyc_penn_station_20mi
c8599439-e26f-48e8-b7fc-bc789af064aa,WFM Coffee Bar,Birmingham,AL,exclude,Whole Foods in-store counter,*wfm coffee*,0.9471,http://www.wholefoodsmarket.com/stores/birmingham?utm_source=bing&utm_medium=organic&utm_campaign=listings,batch_3_alexander_city_al_75mi
77b6b308-9fb3-4e41-ba76-cd0d04c9b0d7,WFM Coffee Bar,Los Angeles,CA,exclude,Whole Foods in-store counter,*wfm coffee*,0.9888756834447384,http://www.wholefoodsmarket.com/stores/downtownlosangeles,batch_5_la_dtla_5mi
832b2157-e6c7-4d6b-a7f1-5356c5ae3188,WFM Coffee Bar,San Jose,CA,exclude,Whole Foods in-store counter,*wfm coffee*,0.9247948527336121,https://www.allegrocoffee.com/locations/san-jose/california/alameda,batch_2_warren_oh_10mi
639fef5b-eaf3-4077-ac7a-028ba2d54e22,WFM Coffee Bar,Palm Beach Gardens,FL,exclude,Whole Foods in-store counter,*wfm coffee*,0.77,http://www.wholefoodsmarket.com/stores/palmbeachgardens,batch_1_fort_pierce_fl_50mi
af5c70b0-f7a5-4ee0-8bb9-6286997c09d3,WFM Coffee Bar,Savannah,GA,exclude,Whole Foods in-store counter,*wfm coffee*,0.9056183695793152,https://www.allegrocoffee.com/locations/savannah/georgia/savannah,batch_2_savannah_ga_50mi
7a1fefd0-c18b-40ce-b77e-dafb1d94b216,WFM Coffee Bar,New York,NY,exclude,Whole Foods in-store counter,*wfm coffee*,0.9754351069748401,http://www.wholefoodsmarket.com/stores/chelsea,batch_4_nyc_penn_station_20mi
0989809f-6289-487c-bf9a-8fa1dca638bf,WFM Coffee Bar,Hilton Head Island,SC,exclude,Whole Foods in-store counter,*wfm coffee*,0.77,http://www.wholefoodsmarket.com/stores/hiltonheadisland,batch_2_savannah_ga_50mi
f5248c1d-b0f4-4e94-a2a2-259ba7eadd12,Wave 31,Fort Pierce,FL,exclude,"Phantom listing; low conf, no website",widget_quality_gate,0.5758184194564819,,batch_1_fort_pierce_fl_10mi
79fee51b-6ae3-4d7b-92f3-e1adc8cc45f7,"We Proudly Serve Starbucks, The Cup @ The Caribbean Court Boutique Resort",Vero Beach,FL,exclude,Licensed hotel/c-store counter,*proudly serve*,0.77,http://www.thecaribbeancourt.com/we-proudly-serve-starbucks,batch_1_fort_pierce_fl_50mi
3d5cf9c1-c6ae-4e02-8e84-21fabc06b243,Wild Bean Cafe,Jupiter,FL,exclude,BP gas-station cafe brand,*wild bean*,0.77,http://wildbeancafe.com,batch_1_fort_pierce_fl_50mi
8a3b4645-eced-4fe7-a222-b8a8178d8e71,7 Brew Coffee,Alabaster,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/,batch_3_alexander_city_al_75mi
2bf4dcb7-27d2-4f3a-9932-f7510fd7ca00,7 Brew Coffee,Auburn,AL,keep,Drive-through chain — product decision,,0.9471,https://7brew.com/location/alabama-auburn-000207,batch_3_alexander_city_al_75mi
6755bbc8-d06d-470a-97ba-4beccf9b6869,7 Brew Coffee,Birmingham,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-birmingham-000752,batch_3_alexander_city_al_75mi
91b389de-3632-42a2-b528-1b68a7375892,7 Brew Coffee,Calera,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-calera-000265,batch_3_alexander_city_al_75mi
37a828b0-0bfe-4f0e-b5db-20ab16abfd7e,7 Brew Coffee,Chelsea,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/,batch_3_alexander_city_al_75mi
5745ab68-5477-48c1-b019-ffec9b951d55,7 Brew Coffee,Helena,AL,keep,Drive-through chain — product decision,,0.77,https://7brew.com/,batch_3_alexander_city_al_75mi
84b43ae7-e172-480d-bcab-b4f912846bdd,7 Brew Coffee,Jacksonville,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-jacksonville-000208,batch_3_alexander_city_al_75mi
8fc6de81-70fb-4f08-9ada-f85f634ec12b,7 Brew Coffee,Millbrook,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-millbrook-000701,batch_3_alexander_city_al_75mi
493d3622-97c7-4dff-817a-731fff80a671,7 Brew Coffee,Montgomery,AL,keep,Drive-through chain — product decision,,0.77,https://7brew.com/,batch_3_alexander_city_al_75mi
92ae1897-a0ca-49fb-ae3f-3dbc617105ad,7 Brew Coffee,Montgomery,AL,keep,Drive-through chain — product decision,,0.77,https://7brew.com/,batch_3_alexander_city_al_75mi
a815a944-3b7e-4fee-8b34-506d8ebec316,7 Brew Coffee,Moody,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-moody-000045,batch_3_alexander_city_al_75mi
5a956e52-19c4-4a7f-9669-4cc0e0f5e525,7 Brew Coffee,Moody,AL,keep,Drive-through chain — product decision,,0.77,https://7brew.com/location/alabama-moody-000045,batch_3_alexander_city_al_75mi
05effb08-0dda-4659-a3ef-afea4df9c2f0,7 Brew Coffee,Trussville,AL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/alabama-trussville-000315,batch_3_alexander_city_al_75mi
24b67efe-0e0b-4589-b883-d57162b4cc9d,7 Brew Coffee,Fort Pierce,FL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/florida-fort-pierce-000309,batch_1_fort_pierce_fl_10mi
9cb5dad7-8abf-4dff-93b1-342a7313442a,7 Brew Coffee,Melbourne,FL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/florida-melbourne-000163,batch_1_fort_pierce_fl_50mi
101bd09c-a5e8-4ce8-868e-5ee4b2b0b9ac,7 Brew Coffee,Melbourne,FL,keep,Drive-through chain — product decision,,0.9606910347938538,https://7brew.com/location/florida-melbourne-000081,batch_1_fort_pierce_fl_50mi
523ec0cf-00f9-4caa-9cd1-87a55364ed08,7 Brew Coffee,Okeechobee,FL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/,batch_1_fort_pierce_fl_50mi
5511bc29-52b5-4621-999d-47ce931d12b2,7 Brew Coffee,Palm Bay,FL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/florida-palm-bay-000164,batch_1_fort_pierce_fl_50mi
b9cbf003-b15c-42d4-85c5-c067d09ddf32,7 Brew Coffee,Palm Bay,FL,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/florida-palm-bay-000320,batch_1_fort_pierce_fl_50mi
c13c0bc3-1a55-4758-bc15-28d68537ada6,7 Brew Coffee,Hinesville,GA,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/georgia-hinesville-000251,batch_2_savannah_ga_50mi
2cf62e31-c76c-464b-ae65-fcd4c9147f05,7 Brew Coffee,Hinesville,GA,keep,Drive-through chain — product decision,,0.77,https://7brew.com/location/georgia-hinesville-000251,batch_2_savannah_ga_50mi
cae61db7-3e5c-4fb5-a32d-e0d2024dfcf7,7 Brew Coffee,Pooler,GA,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/georgia-pooler-000074,batch_2_savannah_ga_50mi
c72aa303-488d-45f7-ac34-a4153fc2293c,7 Brew Coffee,Hilton Head Island,SC,keep,Drive-through chain — product decision,,0.9879518151283264,https://7brew.com/location/south-carolina-hilton-head-island-000126,batch_2_savannah_ga_50mi
e3d28b0b-33e4-40d3-9f81-7cb576960c41,Bohemio Café,Fort Pierce,FL,keep,Real local cafe despite low confidence,,0.3564559519290924,http://bohemiocafe.com/,batch_1_fort_pierce_fl_10mi
46a959e5-3847-48d8-8caa-b39918165ca4,Cha Cha Matcha,New York,NY,keep,Bubble tea — product decision,,0.9851535558700562,http://chachamatcha.com,batch_4_nyc_penn_station_20mi
4889729c-f95c-458a-a550-f651fb53b00b,Dutch Bros Coffee,Auburn,AL,keep,Drive-through chain — product decision,,0.77,https://dutchbros.com,batch_3_alexander_city_al_75mi
1160b0e8-4c27-438d-80cd-80e1e6850c83,Ellianos Coffee,Deatsville,AL,keep,Drive-through chain — product decision,,0.77,http://ellianos.com/,batch_3_alexander_city_al_75mi
6fa1edee-eadc-4ac4-bf22-b606b5596e22,Ellianos Coffee,Deatsville,AL,keep,Drive-through chain — product decision,,0.9606910347938538,https://ellianos.com/,batch_3_alexander_city_al_75mi
